archive_path	source_path	usage_context	purpose
.gitignore	.gitignore	Repository metadata	Archived workflow file.
DATA_POLICY.md	DATA_POLICY.md	Repository metadata	Documentation describing workflow state, command recipes, or archive policy.
README.md	README.md	Repository metadata	Documentation describing workflow state, command recipes, or archive policy.
UPSTREAM_CODE.md	UPSTREAM_CODE.md	Repository metadata	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/README.md	d0-reproduction/README.md	Repository metadata	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/config/ZDCAnalyzersHC2023_cff.py	research/cms-d0-analysis/config/ZDCAnalyzersHC2023_cff.py	D0 reproduction configuration	Python workflow, plotting, validation, or maintenance helper.
d0-reproduction/config/selection_independence.yaml	research/cms-d0-analysis/config/selection_independence.yaml	D0 reproduction configuration	Structured configuration or registry used by the workflow.
d0-reproduction/config/zdc_selection.yaml	research/cms-d0-analysis/config/zdc_selection.yaml	D0 reproduction configuration	Canonical D0 ZDC nominal selection recipe: AN calibrated offline signal `HADsum + 0.1*EMsum`, plus/minus 1n thresholds, XOR side logic, and validation/efficiency notes.
d0-reproduction/docs/ANALYSIS_ROADMAP.md	research/cms-d0-analysis/ANALYSIS_ROADMAP.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/CHECKLISTS.md	research/cms-d0-analysis/CHECKLISTS.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/CMS_ANALYSIS_PLAN.md	research/cms-d0-analysis/CMS_ANALYSIS_PLAN.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/COMMANDS.md	research/cms-d0-analysis/COMMANDS.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/CUT_DERIVATION.md	research/cms-d0-analysis/CUT_DERIVATION.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
d0-reproduction/docs/DATASETS.md	research/cms-d0-analysis/DATASETS.md	D0 reproduction documentation and command provenance	Documentation describing workflow state, command recipes, or archive policy.
